date,distributor_id,product,quotation_eur_per_litre,operational_required_litres,combined_signal_score,combined_signal_confidence,external_drivers,external_themes,purchase_litres,target_cover_days,purchase_cost_eur,expected_future_cost_eur,expected_cost_eur,downside_cost_eur,holding_cost_eur,capital_cost_eur,order_cost_eur,robust_objective_eur,expected_future_price_eur_per_litre,scenario_costs,selected,selection_reason
2026-06-16,368318,Diesel,1.493,0.0,0.11282347583944764,0.148303681732798,Crude | Currency,,0.0,9.0,0.0,13142.500707681962,13142.500707681962,0.0,0.0,0.0,0.0,13142.500707681962,1.48884687805798,[13142.500707681962],True,Selected because it is the operational minimum after combined-signal decision gates.
2026-06-16,368318,Diesel,1.493,0.0,0.11282347583944764,0.148303681732798,Crude | Currency,,607.700637,10.0,907.2970510410001,12237.151001942444,13144.448052983444,0.0,0.0,0.0,0.0,13144.448052983444,1.4887767396731997,[13144.448052983444],False,Feasible candidate rejected because its combined robust objective is higher or it failed a decision gate.
2026-06-16,368318,Diesel,1.493,0.0,0.11282347583944764,0.148303681732798,Crude | Currency,,2855.810819,11.0,4263.725552767,8888.667444449864,13152.392997216864,0.0,0.0,0.0,0.0,13152.392997216864,1.4885172717586155,[13152.392997216864],False,Feasible candidate rejected because its combined robust objective is higher or it failed a decision gate.
2026-06-16,368318,Diesel,1.493,0.0,0.11282347583944764,0.148303681732798,Crude | Currency,,4992.411264,12.0,7453.670017152001,5707.355103250118,13161.025120402119,0.0,0.0,0.0,0.0,13161.025120402119,1.4882706738533158,[13161.025120402119],False,Feasible candidate rejected because its combined robust objective is higher or it failed a decision gate.
2026-06-16,368318,Diesel,1.493,0.0,0.11282347583944764,0.148303681732798,Crude | Currency,,6793.309921,13.0,10142.411712053,3026.7076750727742,13169.119387125775,0.0,0.0,0.0,0.0,13169.119387125775,1.4880628213100326,[13169.119387125775],False,Feasible candidate rejected because its combined robust objective is higher or it failed a decision gate.
2026-06-16,368318,Diesel,1.493,0.0,0.11282347583944764,0.148303681732798,Crude | Currency,,8827.301787,14.0,13179.161567991001,4.3108804127661324e-07,13179.161568422089,0.0,0.0,0.0,0.0,13179.161568422089,1.487828066077848,[13179.161568422089],False,Feasible candidate rejected because its combined robust objective is higher or it failed a decision gate.
2026-06-16,368318,Diesel,1.493,0.0,0.11282347583944764,0.148303681732798,Crude | Currency,,14700.0,14.0,21947.100000000002,0.0,21947.100000000002,0.0,0.0,0.0,0.0,21947.100000000002,1.4878280660778145,[21947.100000000002],False,Feasible candidate rejected because its combined robust objective is higher or it failed a decision gate.
2026-06-16,368318,Verde,1.398,0.0,-0.02744839086300364,0.18322719961224215,Crude | Currency,,0.0,8.0,0.0,9255.185015346735,9255.185015346735,0.0,0.0,0.0,0.0,9255.185015346735,1.3929094728365266,[9255.185015346735],True,Selected because it is the operational minimum after combined-signal decision gates.
2026-06-16,368318,Verde,1.398,0.0,-0.02744839086300364,0.18322719961224215,Crude | Currency,,540.964292,9.0,756.2680802159999,8500.784350626614,9257.052430842614,0.0,0.0,0.0,0.0,9257.052430842614,1.392764249121039,[9257.052430842614],False,Feasible candidate rejected because its combined robust objective is higher or it failed a decision gate.
2026-06-16,368318,Verde,1.398,0.0,-0.02744839086300364,0.18322719961224215,Crude | Currency,,1848.902644,10.0,2584.7658963119998,6677.45074173582,9262.21663804782,0.0,0.0,0.0,0.0,9262.21663804782,1.3924131285943886,[9262.21663804782],False,Feasible candidate rejected because its combined robust objective is higher or it failed a decision gate.
