date,strategy,distributor_id,product,quotation_eur_per_litre,inventory_before_litres,operational_required_litres,signal_score,signal_confidence,adjusted_signal,observed_price_percentile,patterns_used,candidate_purchase_litres,target_cover_days,purchase_cost_eur,expected_future_cost_eur,holding_cost_eur,capital_cost_eur,order_cost_eur,expected_cost_eur,downside_cost_eur,robust_objective_eur,expected_future_price_eur_per_litre,selected,selection_reason,scenario_costs_eur
2026-06-16,WIDGET,368318,Diesel,1.493,20300.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,0.0,9.0,0.0,13179.161568423588,0.0,0.0,0.0,13179.161568423588,0.0,13179.161568423588,1.493,True,Selected because it is the operational minimum.,[13179.161568423588]
2026-06-16,WIDGET,368318,Diesel,1.493,20300.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,607.700637,10.0,907.2970510410001,12271.864517382586,0.0,0.0,0.0,13179.161568423586,0.0,13179.161568423586,1.493,False,Feasible candidate rejected because its robust objective is higher.,[13179.161568423586]
2026-06-16,WIDGET,368318,Diesel,1.493,20300.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,2855.810819,11.0,4263.725552767,8915.43601565659,0.0,0.0,0.0,13179.161568423591,0.0,13179.161568423591,1.493,False,Feasible candidate rejected because its robust objective is higher.,[13179.161568423591]
2026-06-16,WIDGET,368318,Diesel,1.493,20300.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,4992.411264,12.0,7453.670017152001,5725.491551271584,0.0,0.0,0.0,13179.161568423584,0.0,13179.161568423584,1.493,False,Feasible candidate rejected because its robust objective is higher.,[13179.161568423584]
2026-06-16,WIDGET,368318,Diesel,1.493,20300.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,6793.309921,13.0,10142.411712053,3036.749856370587,0.0,0.0,0.0,13179.161568423588,0.0,13179.161568423588,1.493,False,Feasible candidate rejected because its robust objective is higher.,[13179.161568423588]
2026-06-16,WIDGET,368318,Diesel,1.493,20300.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,8827.301787,14.0,13179.161567991001,4.3258657387923454e-07,0.0,0.0,0.0,13179.161568423588,0.0,13179.161568423588,1.493,False,Feasible candidate rejected because its robust objective is higher.,[13179.161568423588]
2026-06-16,WIDGET,368318,Diesel,1.493,20300.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,14700.0,14.0,21947.100000000002,0.0,0.0,0.0,0.0,21947.100000000002,0.0,21947.100000000002,1.493,False,Feasible candidate rejected because its robust objective is higher.,[21947.100000000002]
2026-06-16,WIDGET,368318,Verde,1.398,10000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,0.0,8.0,0.0,9289.009015859598,0.0,0.0,0.0,9289.009015859598,0.0,9289.009015859598,1.398,True,Selected because it is the operational minimum.,[9289.009015859598]
2026-06-16,WIDGET,368318,Verde,1.398,10000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,540.964292,9.0,756.2680802159999,8532.740935643598,0.0,0.0,0.0,9289.009015859598,0.0,9289.009015859598,1.398,False,Feasible candidate rejected because its robust objective is higher.,[9289.009015859598]
2026-06-16,WIDGET,368318,Verde,1.398,10000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,1848.902644,10.0,2584.7658963119998,6704.243119547599,0.0,0.0,0.0,9289.0090158596,0.0,9289.0090158596,1.398,False,Feasible candidate rejected because its robust objective is higher.,[9289.0090158596]
2026-06-16,WIDGET,368318,Verde,1.398,10000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,3174.111615,11.0,4437.408037769999,4851.600978089599,0.0,0.0,0.0,9289.0090158596,0.0,9289.0090158596,1.398,False,Feasible candidate rejected because its robust objective is higher.,[9289.0090158596]
2026-06-16,WIDGET,368318,Verde,1.398,10000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,4426.574793,12.0,6188.351560613999,3100.657455245599,0.0,0.0,0.0,9289.009015859598,0.0,9289.009015859598,1.398,False,Feasible candidate rejected because its robust objective is higher.,[9289.009015859598]
2026-06-16,WIDGET,368318,Verde,1.398,10000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,5502.437439,13.0,7692.4075397219995,1596.6014761375973,0.0,0.0,0.0,9289.009015859596,0.0,9289.009015859596,1.398,False,Feasible candidate rejected because its robust objective is higher.,[9289.009015859596]
2026-06-16,WIDGET,368318,Verde,1.398,10000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,6644.498581,14.0,9289.009016237998,0.0,0.0,0.0,0.0,9289.009016237998,0.0,9289.009016237998,1.398,False,Feasible candidate rejected because its robust objective is higher.,[9289.009016237998]
2026-06-16,WIDGET,368318,Verde,1.398,10000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,20000.0,14.0,27960.0,0.0,0.0,0.0,0.0,27960.0,0.0,27960.0,1.398,False,Feasible candidate rejected because its robust objective is higher.,[27960.0]
2026-06-16,WIDGET,368319,Diesel,1.493,9600.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.493,True,Selected because it is the operational minimum.,[0.0]
2026-06-16,WIDGET,368319,Diesel,1.493,9600.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,400.0,14.0,597.2,0.0,0.0,0.0,0.0,597.2,0.0,597.2,1.493,False,Feasible candidate rejected because its robust objective is higher.,[597.2]
2026-06-16,WIDGET,368319,Verde,1.398,8000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.398,True,Selected because it is the operational minimum.,[0.0]
2026-06-16,WIDGET,368319,Verde,1.398,8000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,2000.0,14.0,2796.0,0.0,0.0,0.0,0.0,2796.0,0.0,2796.0,1.398,False,Feasible candidate rejected because its robust objective is higher.,[2796.0]
2026-06-16,WIDGET,368320,Diesel,1.493,47800.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.493,True,Selected because it is the operational minimum.,[0.0]
2026-06-16,WIDGET,368320,Diesel,1.493,47800.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,2200.0,14.0,3284.6000000000004,0.0,0.0,0.0,0.0,3284.6000000000004,0.0,3284.6000000000004,1.493,False,Feasible candidate rejected because its robust objective is higher.,[3284.6000000000004]
2026-06-16,WIDGET,368320,Verde,1.398,14000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.398,True,Selected because it is the operational minimum.,[0.0]
2026-06-16,WIDGET,368320,Verde,1.398,14000.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,36000.0,14.0,50328.0,0.0,0.0,0.0,0.0,50328.0,0.0,50328.0,1.398,False,Feasible candidate rejected because its robust objective is higher.,[50328.0]
2026-06-16,WIDGET,368321,Diesel,1.493,9600.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.493,True,Selected because it is the operational minimum.,[0.0]
2026-06-16,WIDGET,368321,Diesel,1.493,9600.0,0.0,0.0,0.0,0.0,0.5,P07 price percentile 0.50,400.0,14.0,597.2,0.0,0.0,0.0,0.0,597.2,0.0,597.2,1.493,False,Feasible candidate rejected because its robust objective is higher.,[597.2]
