date,strategy,distributor_id,product,quotation_eur_per_litre,inventory_before_litres,purchase_litres,purchase_spend_eur,selected_cover_days,operational_required_litres,discretionary_litres,signal_score,signal_confidence,expected_change_eur_per_litre_day,observed_price_percentile,candidates_evaluated,selected_expected_cost_eur,required_only_expected_cost_eur,expected_advantage_eur,downside_cost_eur,patterns_used,caveats,reason
2026-06-16,AS_IS,368318,Diesel,1.493,20300.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368318,Verde,1.398,10000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368319,Diesel,1.493,9600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368319,Verde,1.398,8000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368320,Diesel,1.493,47800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368320,Verde,1.398,14000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368321,Diesel,1.493,9600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368321,Verde,1.398,8800.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368322,Diesel,1.493,13600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-16,AS_IS,368322,Verde,1.398,9600.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0,0.0,0.0,0.0,0.0,P07 price percentile 0.50,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-17,AS_IS,368318,Diesel,1.478,18367.31371607538,0.0,0.0,1.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002775330396475773,0.0,0,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-17,AS_IS,368318,Verde,1.384,8925.701584498891,0.0,0.0,1.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002590308370044055,0.0,0,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
2026-06-17,AS_IS,368319,Diesel,1.478,9174.864818561422,0.0,0.0,1.0,0.0,0.0,0.030837004405286365,0.6000000000000001,0.0002775330396475773,0.0,0,0.0,0.0,0.0,0.0,P02 streak 1 | P07 price percentile 0.00,"Pattern confidence is detection confidence, not validated predictive probability.",Operational minimum required to cover demand until the next observed quotation
