distributor_id,product,capacity_litres,opening_inventory_litres,opening_implicit_cost_per_litre,selling_price_per_litre
368318,Diesel,35000.0,20300.0,1.53,1.649
368318,Verde,30000.0,10000.0,1.57,1.613
368319,Diesel,10000.0,9600.0,1.53,1.639
368319,Verde,10000.0,8000.0,1.57,1.603
368320,Diesel,50000.0,47800.0,1.5207,1.649
368320,Verde,50000.0,14000.0,1.5664,1.603
368321,Diesel,10000.0,9600.0,1.53,1.649
368321,Verde,10000.0,8800.0,1.57,1.603
368322,Diesel,14000.0,13600.0,1.53,1.649
368322,Verde,14000.0,9600.0,1.57,1.603
