quotation_date,supplier,product,price_eur_m3,valid_from,valid_to,event_type,source_email,priority
2026-06-16,Di.Ma,Benzina Synergy,1398.00,2026-06-16,2026-06-16,Normal quotation,q_1606.eml,0
2026-06-17,Di.Ma,Benzina Synergy,1384.00,2026-06-17,2026-06-17,Normal quotation,q_1706.eml,0
2026-06-18,Di.Ma,Benzina Synergy,1375.00,2026-06-18,2026-06-18,Normal quotation,q_1806.eml,0
2026-06-19,Di.Ma,Benzina Synergy,1360.00,2026-06-19,2026-06-19,Normal quotation,q_1906.eml,0
2026-06-20,Di.Ma,Benzina Synergy,1353.00,2026-06-20,2026-06-22,Multi-day quotation,q_2006.eml,0
2026-06-23,Di.Ma,Benzina Synergy,1358.00,2026-06-23,2026-06-23,Normal quotation,q_2306.eml,0
2026-06-24,Di.Ma,Benzina Synergy,1368.00,2026-06-24,2026-06-24,Normal quotation,q_2406.eml,0
2026-06-25,Di.Ma,Benzina Synergy,1374.00,2026-06-25,2026-06-25,Normal quotation,q_2506.eml,0
2026-06-26,Di.Ma,Benzina Synergy,1369.00,2026-06-26,2026-06-26,Normal quotation,q_2606.eml,0
2026-06-27,Di.Ma,Benzina Synergy,1380.00,2026-06-27,2026-06-29,Multi-day quotation,q_2706.eml,0
2026-06-30,Di.Ma,Benzina Synergy,1389.00,2026-06-30,2026-06-30,Normal quotation,q_3006.eml,0
2026-07-01,Di.Ma,Benzina Synergy,1399.00,2026-07-01,2026-07-01,Normal quotation,q_0107.eml,0
2026-07-02,Di.Ma,Benzina Synergy,1408.00,2026-07-02,2026-07-02,Normal quotation,q_0207.eml,0
2026-07-03,Di.Ma,Benzina Synergy,1410.00,2026-07-03,2026-07-03,Normal quotation,q_0307.eml,0
2026-07-04,Di.Ma,Benzina Synergy,1406.00,2026-07-04,2026-07-06,Original quotation,q_0407_original.eml,0
2026-07-04,Di.Ma,Benzina Synergy,1444.70,2026-07-04,2026-07-06,Regulatory update,q_0407_updated.eml,10
2026-07-07,Di.Ma,Benzina Synergy,1443.00,2026-07-07,2026-07-07,Normal quotation,q_0707.eml,0
2026-07-08,Di.Ma,Benzina Synergy,1445.54,2026-07-08,2026-07-08,Normal quotation,q_0807.eml,0
2026-06-16,Di.Ma,Gasolio Synergy,1493.00,2026-06-16,2026-06-16,Normal quotation,q_1606.eml,0
2026-06-17,Di.Ma,Gasolio Synergy,1478.00,2026-06-17,2026-06-17,Normal quotation,q_1706.eml,0
2026-06-18,Di.Ma,Gasolio Synergy,1465.00,2026-06-18,2026-06-18,Normal quotation,q_1806.eml,0
2026-06-19,Di.Ma,Gasolio Synergy,1445.00,2026-06-19,2026-06-19,Normal quotation,q_1906.eml,0
2026-06-20,Di.Ma,Gasolio Synergy,1415.00,2026-06-20,2026-06-22,Multi-day quotation,q_2006.eml,0
2026-06-23,Di.Ma,Gasolio Synergy,1425.00,2026-06-23,2026-06-23,Normal quotation,q_2306.eml,0
2026-06-24,Di.Ma,Gasolio Synergy,1432.00,2026-06-24,2026-06-24,Normal quotation,q_2406.eml,0
2026-06-25,Di.Ma,Gasolio Synergy,1440.00,2026-06-25,2026-06-25,Normal quotation,q_2506.eml,0
2026-06-26,Di.Ma,Gasolio Synergy,1447.00,2026-06-26,2026-06-26,Normal quotation,q_2606.eml,0
2026-06-27,Di.Ma,Gasolio Synergy,1460.00,2026-06-27,2026-06-29,Multi-day quotation,q_2706.eml,0
2026-06-30,Di.Ma,Gasolio Synergy,1470.00,2026-06-30,2026-06-30,Normal quotation,q_3006.eml,0
2026-07-01,Di.Ma,Gasolio Synergy,1480.00,2026-07-01,2026-07-01,Normal quotation,q_0107.eml,0
2026-07-02,Di.Ma,Gasolio Synergy,1490.00,2026-07-02,2026-07-02,Normal quotation,q_0207.eml,0
2026-07-03,Di.Ma,Gasolio Synergy,1498.00,2026-07-03,2026-07-03,Normal quotation,q_0307.eml,0
2026-07-04,Di.Ma,Gasolio Synergy,1505.81,2026-07-04,2026-07-06,Regulatory update,q_0407_updated.eml,10
2026-07-07,Di.Ma,Gasolio Synergy,1547.00,2026-07-07,2026-07-07,Normal quotation,q_0707.eml,0
2026-07-08,Di.Ma,Gasolio Synergy,1551.86,2026-07-08,2026-07-08,Normal quotation,q_0807.eml,0
